id,univ_type,univ_name,yr_lvl,acad_stat,course,pl_mod,gender,active,A_preference,reflective,R_preference,sensing,S_preference,intuitive,I_preference,visual,Vi_preference,verbal,Ve_preference,sequential,Se_preference,global,G_preference,LS,AR,SI,VV,SG,AR_pref,SI_pref,VV_pref,SG_pref,Learning Style Result,Detected Dimension,Teaching Strategies
41,1,earist,4,2,cs,3,1,0,Not Prefer,5,Moderate,3,Low,0,Not Prefer,7,Moderate,0,Not Prefer,0,Not Prefer,3,Low,"0,5,3,0,7,0,0,3",2,1,1,2,Moderate,Low,Moderate,Low,AR,Processing,Concept Mapping
42,1,earist,3,1,cs,3,2,0,Not Prefer,3,Low,9,High,0,Not Prefer,0,Not Prefer,1,Low,1,Low,0,Not Prefer,"0,3,9,0,0,1,1,0",2,1,2,1,Low,High,Low,Low,SI,Perception,Practical Lab
43,1,earist,3,1,cs,2,2,0,Not Prefer,1,Low,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,0,Not Prefer,1,Low,"0,1,7,0,3,0,0,1",2,1,1,2,Low,Moderate,Low,Low,SI,Perception,Step-by-step Coding
44,1,earist,3,1,cs,3,2,0,Not Prefer,5,Moderate,9,High,0,Not Prefer,9,High,0,Not Prefer,0,Not Prefer,7,Moderate,"0,5,9,0,9,0,0,7",2,1,1,2,Moderate,High,High,Moderate,SI,Perception,Practical Lab
45,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,3,Low,0,Not Prefer,1,Low,0,Not Prefer,7,Moderate,0,Not Prefer,"0,1,3,0,1,0,7,0",2,1,1,1,Low,Low,Low,Moderate,SG,Understanding,Structured Outlines
46,1,earist,3,2,cs,2,1,0,Not Prefer,3,Low,3,Low,0,Not Prefer,0,Not Prefer,3,Low,0,Not Prefer,1,Low,"0,3,3,0,0,3,0,1",2,1,2,2,Low,Low,Low,Low,AR,Processing,Group Coding
47,1,earist,3,1,cs,2,1,0,Not Prefer,3,Low,1,Low,0,Not Prefer,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,"0,3,1,0,1,0,5,0",2,1,1,1,Low,Low,Low,Moderate,SG,Understanding,Structured Outlines
48,1,earist,3,1,cs,3,1,3,Low,0,Not Prefer,7,Moderate,0,Not Prefer,9,High,0,Not Prefer,3,Low,0,Not Prefer,"3,0,7,0,9,0,3,0",1,1,1,1,Low,Moderate,High,Low,VV,Input,Interactive code
49,1,earist,3,1,cs,3,1,0,Not Prefer,7,Moderate,0,Not Prefer,3,Low,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,"0,7,0,3,5,0,5,0",2,2,1,1,Moderate,Low,Moderate,Moderate,AR,Processing,Concept Mapping
50,1,earist,3,1,cs,1,2,3,Low,0,Not Prefer,7,Moderate,0,Not Prefer,0,Not Prefer,9,High,1,Low,0,Not Prefer,"3,0,7,0,0,9,1,0",1,1,2,1,Low,Moderate,High,Low,VV,Input,Written Code
51,1,earist,3,1,cs,3,1,1,Low,0,Not Prefer,0,Not Prefer,5,Moderate,3,Low,0,Not Prefer,0,Not Prefer,3,Low,"1,0,0,5,3,0,0,3",1,2,1,2,Low,Moderate,Low,Low,SI,Perception,Coding Pattern
52,1,earist,3,1,cs,3,1,0,Not Prefer,3,Low,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,3,Low,0,Not Prefer,"0,3,1,0,5,0,3,0",2,1,1,1,Low,Low,Moderate,Low,VV,Input,Visual Code Flowcharts
53,1,earist,3,1,cs,3,2,0,Not Prefer,3,Low,1,Low,0,Not Prefer,1,Low,0,Not Prefer,0,Not Prefer,9,High,"0,3,1,0,1,0,0,9",2,1,1,2,Low,Low,Low,High,SG,Understanding,Integrated Projects
54,1,earist,3,1,cs,3,1,1,Low,0,Not Prefer,11,High,0,Not Prefer,1,Low,0,Not Prefer,0,Not Prefer,3,Low,"1,0,11,0,1,0,0,3",1,1,1,2,Low,High,Low,Low,SI,Perception,Practical Lab
55,1,earist,3,1,cs,2,2,3,Low,0,Not Prefer,3,Low,0,Not Prefer,0,Not Prefer,1,Low,3,Low,0,Not Prefer,"3,0,3,0,0,1,3,0",1,1,2,1,Low,Low,Low,Low,AR,Processing,Individual Learning
56,1,earist,3,1,cs,3,1,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,0,Not Prefer,7,Moderate,0,Not Prefer,7,Moderate,"5,0,5,0,0,7,0,7",1,1,2,2,Moderate,Moderate,Moderate,Moderate,AR,Processing,Hands-On Labs
57,1,earist,3,1,cs,3,1,7,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,11,High,0,Not Prefer,1,Low,0,Not Prefer,"7,0,5,0,11,0,1,0",1,1,1,1,Moderate,Moderate,High,Low,VV,Input,Interactive code
58,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,0,Not Prefer,1,Low,7,Moderate,0,Not Prefer,0,Not Prefer,3,Low,"0,1,0,1,7,0,0,3",2,2,1,2,Low,Low,Moderate,Low,VV,Input,Visual Code Flowcharts
59,1,earist,3,1,cs,3,1,0,Not Prefer,7,Moderate,3,Low,0,Not Prefer,0,Not Prefer,3,Low,0,Not Prefer,3,Low,"0,7,3,0,0,3,0,3",2,1,2,2,Moderate,Low,Low,Low,AR,Processing,Concept Mapping
60,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,9,High,0,Not Prefer,3,Low,0,Not Prefer,0,Not Prefer,3,Low,"0,1,9,0,3,0,0,3",2,1,1,2,Low,High,Low,Low,SI,Perception,Practical Lab
61,1,earist,3,1,cs,3,1,5,Moderate,0,Not Prefer,0,Not Prefer,3,Low,7,Moderate,0,Not Prefer,0,Not Prefer,3,Low,"5,0,0,3,7,0,0,3",1,2,1,2,Moderate,Low,Moderate,Low,AR,Processing,Hands-On Labs
62,1,earist,3,1,cs,1,1,0,Not Prefer,3,Low,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,0,Not Prefer,1,Low,"0,3,5,0,5,0,0,1",2,1,1,2,Low,Moderate,Moderate,Low,SI,Perception,Step-by-step Coding
63,1,earist,3,1,cs,2,1,3,Low,0,Not Prefer,3,Low,0,Not Prefer,11,High,0,Not Prefer,3,Low,0,Not Prefer,"3,0,3,0,11,0,3,0",1,1,1,1,Low,Low,High,Low,VV,Input,Interactive code
64,1,earist,3,1,cs,3,1,0,Not Prefer,11,High,7,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"0,11,7,0,7,0,1,0",2,1,1,1,High,Moderate,Moderate,Low,AR,Processing,Independent Coding
65,1,earist,3,1,cs,2,1,0,Not Prefer,5,Moderate,0,Not Prefer,3,Low,0,Not Prefer,9,High,0,Not Prefer,1,Low,"0,5,0,3,0,9,0,1",2,2,2,2,Moderate,Low,High,Low,VV,Input,Written Code
66,1,earist,3,1,cs,3,1,3,Low,0,Not Prefer,0,Not Prefer,7,Moderate,9,High,0,Not Prefer,0,Not Prefer,3,Low,"3,0,0,7,9,0,0,3",1,2,1,2,Low,Moderate,High,Low,VV,Input,Interactive code
67,1,earist,3,1,cs,3,2,5,Moderate,0,Not Prefer,3,Low,0,Not Prefer,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,"5,0,3,0,7,0,3,0",1,1,1,1,Moderate,Low,Moderate,Low,AR,Processing,Hands-On Labs
68,1,earist,3,1,cs,3,2,3,Low,0,Not Prefer,0,Not Prefer,1,Low,1,Low,0,Not Prefer,3,Low,0,Not Prefer,"3,0,0,1,1,0,3,0",1,2,1,1,Low,Low,Low,Low,AR,Processing,Individual Learning
69,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,3,Low,0,Not Prefer,9,High,0,Not Prefer,9,High,0,Not Prefer,"0,1,3,0,9,0,9,0",2,1,1,1,Low,Low,High,High,VV,Input,Interactive code
70,1,earist,3,1,cs,3,2,3,Low,0,Not Prefer,1,Low,0,Not Prefer,11,High,0,Not Prefer,0,Not Prefer,7,Moderate,"3,0,1,0,11,0,0,7",1,1,1,2,Low,Low,High,Moderate,VV,Input,Interactive code
71,1,earist,3,1,cs,1,2,0,Not Prefer,3,Low,1,Low,0,Not Prefer,3,Low,0,Not Prefer,3,Low,0,Not Prefer,"0,3,1,0,3,0,3,0",2,1,1,1,Low,Low,Low,Low,AR,Processing,Group Coding
72,1,earist,3,1,cs,1,1,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,"1,0,5,0,7,0,3,0",1,1,1,1,Low,Moderate,Moderate,Low,SI,Perception,Step-by-step Coding
73,1,earist,3,1,cs,3,1,3,Low,0,Not Prefer,11,High,0,Not Prefer,5,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,"3,0,11,0,5,0,7,0",1,1,1,1,Low,High,Moderate,Moderate,SI,Perception,Practical Lab
74,1,earist,3,1,cs,3,1,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,9,High,0,Not Prefer,3,Low,0,Not Prefer,"1,0,5,0,9,0,3,0",1,1,1,1,Low,Moderate,High,Low,VV,Input,Interactive code
75,1,earist,3,1,cs,3,1,3,Low,0,Not Prefer,0,Not Prefer,1,Low,9,High,0,Not Prefer,3,Low,0,Not Prefer,"3,0,0,1,9,0,3,0",1,2,1,1,Low,Low,High,Low,VV,Input,Interactive code
76,1,earist,3,1,cs,1,1,0,Not Prefer,1,Low,0,Not Prefer,3,Low,3,Low,0,Not Prefer,0,Not Prefer,3,Low,"0,1,0,3,3,0,0,3",2,2,1,2,Low,Low,Low,Low,AR,Processing,Group Coding
77,1,earist,3,1,cs,2,1,1,Low,0,Not Prefer,1,Low,0,Not Prefer,1,Low,0,Not Prefer,1,Low,0,Not Prefer,"1,0,1,0,1,0,1,0",1,1,1,1,Low,Low,Low,Low,AR,Processing,Individual Learning
78,1,earist,3,1,cs,2,2,1,Low,0,Not Prefer,7,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"1,0,7,0,5,0,1,0",1,1,1,1,Low,Moderate,Moderate,Low,SI,Perception,Step-by-step Coding
79,1,earist,3,1,cs,3,1,0,Not Prefer,3,Low,9,High,0,Not Prefer,7,Moderate,0,Not Prefer,0,Not Prefer,1,Low,"0,3,9,0,7,0,0,1",2,1,1,2,Low,High,Moderate,Low,SI,Perception,Practical Lab
80,1,earist,3,1,cs,3,1,7,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,1,Low,0,Not Prefer,1,Low,0,Not Prefer,"7,0,7,0,1,0,1,0",1,1,1,1,Moderate,Moderate,Low,Low,AR,Processing,Hands-On Labs
81,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,3,Low,0,Not Prefer,11,High,0,Not Prefer,0,Not Prefer,3,Low,"0,1,3,0,11,0,0,3",2,1,1,2,Low,Low,High,Low,VV,Input,Interactive code
82,1,earist,3,1,cs,3,1,0,Not Prefer,3,Low,5,Moderate,0,Not Prefer,9,High,0,Not Prefer,1,Low,0,Not Prefer,"0,3,5,0,9,0,1,0",2,1,1,1,Low,Moderate,High,Low,VV,Input,Interactive code
83,1,earist,3,1,cs,2,1,0,Not Prefer,3,Low,7,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"0,3,7,0,5,0,1,0",2,1,1,1,Low,Moderate,Moderate,Low,SI,Perception,Step-by-step Coding
84,1,earist,3,1,cs,2,1,1,Low,0,Not Prefer,1,Low,0,Not Prefer,0,Not Prefer,3,Low,7,Moderate,0,Not Prefer,"1,0,1,0,0,3,7,0",1,1,2,1,Low,Low,Low,Moderate,SG,Understanding,Structured Outlines
85,1,earist,3,1,cs,2,1,5,Moderate,0,Not Prefer,9,High,0,Not Prefer,5,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"5,0,9,0,5,0,1,0",1,1,1,1,Moderate,High,Moderate,Low,SI,Perception,Practical Lab
86,1,earist,3,1,cs,3,1,1,Low,0,Not Prefer,7,Moderate,0,Not Prefer,0,Not Prefer,1,Low,0,Not Prefer,1,Low,"1,0,7,0,0,1,0,1",1,1,2,2,Low,Moderate,Low,Low,SI,Perception,Step-by-step Coding
87,1,earist,3,2,cs,2,2,11,High,0,Not Prefer,9,High,0,Not Prefer,7,Moderate,0,Not Prefer,11,High,0,Not Prefer,"11,0,9,0,7,0,11,0",1,1,1,1,High,High,Moderate,High,AR,Processing,Collaborative Projects
88,1,earist,3,1,cs,3,2,3,Low,0,Not Prefer,3,Low,0,Not Prefer,9,High,0,Not Prefer,3,Low,0,Not Prefer,"3,0,3,0,9,0,3,0",1,1,1,1,Low,Low,High,Low,VV,Input,Interactive code
89,1,earist,3,1,cs,3,1,0,Not Prefer,1,Low,5,Moderate,0,Not Prefer,3,Low,0,Not Prefer,0,Not Prefer,1,Low,"0,1,5,0,3,0,0,1",2,1,1,2,Low,Moderate,Low,Low,SI,Perception,Step-by-step Coding
90,1,earist,3,1,cs,3,1,5,Moderate,0,Not Prefer,3,Low,0,Not Prefer,3,Low,0,Not Prefer,0,Not Prefer,1,Low,"5,0,3,0,3,0,0,1",1,1,1,2,Moderate,Low,Low,Low,AR,Processing,Hands-On Labs
91,1,earist,3,1,cs,3,2,0,Not Prefer,3,Low,3,Low,0,Not Prefer,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,"0,3,3,0,7,0,3,0",2,1,1,1,Low,Low,Moderate,Low,VV,Input,Visual Code Flowcharts
92,1,earist,3,1,cs,3,1,3,Low,0,Not Prefer,0,Not Prefer,1,Low,7,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"3,0,0,1,7,0,1,0",1,2,1,1,Low,Low,Moderate,Low,VV,Input,Visual Code Flowcharts
93,1,earist,3,1,cs,1,1,1,Low,0,Not Prefer,1,Low,0,Not Prefer,0,Not Prefer,5,Moderate,1,Low,0,Not Prefer,"1,0,1,0,0,5,1,0",1,1,2,1,Low,Low,Moderate,Low,VV,Input,Reading and Explaining
94,1,earist,3,1,cs,3,1,3,Low,0,Not Prefer,7,Moderate,0,Not Prefer,9,High,0,Not Prefer,1,Low,0,Not Prefer,"3,0,7,0,9,0,1,0",1,1,1,1,Low,Moderate,High,Low,VV,Input,Interactive code
95,1,earist,3,1,cs,1,1,0,Not Prefer,1,Low,5,Moderate,0,Not Prefer,9,High,0,Not Prefer,0,Not Prefer,5,Moderate,"0,1,5,0,9,0,0,5",2,1,1,2,Low,Moderate,High,Moderate,VV,Input,Interactive code
96,1,earist,3,1,cs,2,1,0,Not Prefer,5,Moderate,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,5,Moderate,0,Not Prefer,"0,5,5,0,5,0,5,0",2,1,1,1,Moderate,Moderate,Moderate,Moderate,AR,Processing,Concept Mapping
97,2,earist,3,1,cs,2,1,1,Low,0,Not Prefer,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,5,Moderate,0,Not Prefer,"1,0,7,0,3,0,5,0",1,1,1,1,Low,Moderate,Low,Moderate,SI,Perception,Step-by-step Coding
98,1,earist,3,1,cs,3,1,1,Low,0,Not Prefer,9,High,0,Not Prefer,9,High,0,Not Prefer,3,Low,0,Not Prefer,"1,0,9,0,9,0,3,0",1,1,1,1,Low,High,High,Low,SI,Perception,Practical Lab
99,1,earist,3,1,cs,2,1,0,Not Prefer,5,Moderate,5,Moderate,0,Not Prefer,0,Not Prefer,3,Low,0,Not Prefer,7,Moderate,"0,5,5,0,0,3,0,7",2,1,2,2,Moderate,Moderate,Low,Moderate,AR,Processing,Concept Mapping
100,1,earist,2,2,cs,3,1,1,Low,0,Not Prefer,0,Not Prefer,7,Moderate,9,High,0,Not Prefer,0,Not Prefer,5,Moderate,"1,0,0,7,9,0,0,5",1,2,1,2,Low,Moderate,High,Moderate,VV,Input,Interactive code
101,1,earist,3,1,cs,3,1,0,Not Prefer,5,Moderate,0,Not Prefer,9,High,7,Moderate,0,Not Prefer,1,Low,0,Not Prefer,"0,5,0,9,7,0,1,0",2,2,1,1,Moderate,High,Moderate,Low,SI,Perception,Advanced Programming
102,1,earist,3,1,cs,3,1,0,Not Prefer,3,Low,7,Moderate,0,Not Prefer,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,"0,3,7,0,1,0,5,0",2,1,1,1,Low,Moderate,Low,Moderate,SI,Perception,Step-by-step Coding
103,1,earist,3,1,cs,2,2,1,Low,0,Not Prefer,5,Moderate,0,Not Prefer,9,High,0,Not Prefer,0,Not Prefer,1,Low,"1,0,5,0,9,0,0,1",1,1,1,2,Low,Moderate,High,Low,VV,Input,Interactive code
104,1,earist,3,1,cs,1,1,5,Moderate,0,Not Prefer,9,High,0,Not Prefer,5,Moderate,0,Not Prefer,0,Not Prefer,1,Low,"5,0,9,0,5,0,0,1",1,1,1,2,Moderate,High,Moderate,Low,SI,Perception,Practical Lab
105,1,earist,3,1,cs,3,2,0,Not Prefer,1,Low,5,Moderate,0,Not Prefer,7,Moderate,0,Not Prefer,3,Low,0,Not Prefer,"0,1,5,0,7,0,3,0",2,1,1,1,Low,Moderate,Moderate,Low,SI,Perception,Step-by-step Coding
